Hour,Ontario Demand
1,14960
2,14476
3,13979
4,13670
5,13567
6,13787
7,13944
8,14244
9,14363
10,14846
11,15331
12,15637
13,15840
14,15977
15,16030
16,16139
17,16682
18,18002
19,17664
20,17337
21,16961
22,16317
23,15504
24,14682
1,14037
2,13548
3,13410
4,13344
5,13420
6,13825
7,14718
8,15747
9,16090
10,16321
11,16037
12,16045
13,15998
14,15932
15,16097
16,16436
17,17361
18,18821
19,18657
20,18453
21,18230
22,17760
23,16977
24,15799
1,14999
2,14369
3,13972
4,13721
5,13664
6,13869
7,14473
8,15202
9,15787
10,16268
11,17070
12,17428
13,17652
14,17483
15,17428
16,17540
17,18380
18,19538
19,19234
20,18580
21,17992
22,17343
23,16536
24,15628
1,14600
2,13964
3,13577
4,13364
5,13392
6,13545
7,13968
8,14563
9,15057
10,15374
11,15940
12,16277
13,16578
14,16469
15,16648
16,16737
17,17757
18,18691
19,18499
20,18110
21,17695
22,17251
23,16313
24,15317
1,14711
2,14434
3,14346
4,14501
5,14839
6,15607
7,17025
8,18591
9,18713
10,18640
11,18552
12,18580
13,18431
14,18485
15,18343
16,18794
17,19897
18,20938
19,20999
20,20790
21,20427
22,19836
23,18886
24,17619
1,16541
2,16058
3,15873
4,15898
5,16036
6,16591
7,18078
8,19529
9,19692
10,19539
11,19382
12,19207
13,19035
14,18966
15,19067
16,19134
17,19581
18,20593
19,20461
20,20374
21,20046
22,19602
23,18456
24,17159
1,16266
2,15851
3,15697
4,15844
5,15856
6,16363
7,17890
8,19494
9,19774
10,19473
11,19543
12,19385
13,19198
14,19170
15,19265
16,19508
17,20342
18,21814
19,21595
20,21544
21,21274
22,20668
23,19414
24,18283
1,17224
2,16657
3,16479
4,16404
5,16532
6,17131
7,18483
8,20042
9,20277
10,20158
11,20176
12,20193
13,19856
14,19624
15,19409
16,19718
17,20335
18,20999
19,20792
20,20765
21,20578
22,20024
23,18809
24,17492
1,16615
2,16129
3,15818
4,15639
5,15850
6,16250
7,17448
8,19067
9,19110
10,18917
11,18543
12,18429
13,18499
14,18419
15,18398
16,18543
17,19116
18,20386
19,20623
20,20165
21,19816
22,19213
23,18208
24,17132
